"study_name_rare","source_rare","study_name_common","source_common","trait_rare","trait_common","tier","match_type"
"ukb-wes-az-00010237","az_exwas","ukb-b-19379","ukb","Impedance of arm (left)","Impedance of arm (left)","all","exact"
"ukb-wes-az-00010228","az_exwas","ukb-b-19393","ukb","Whole body fat mass","Whole body fat mass","all","exact"
"ukb-wes-az-00010248","az_exwas","ukb-b-19520","ukb","Arm fat-free mass (right)","Arm fat-free mass (right)","all","exact"
"ukb-wes-az-00011822","az_exwas","ukb-b-19657","ukb","Forced expiratory volume in 1-second (FEV1)","Forced expiratory volume in 1-second (FEV1)","all","exact"
"ukb-wes-az-00010233","az_exwas","ukb-b-19921","ukb","Impedance of whole body","Impedance of whole body","all","exact"
"ukb-wes-az-00010252","az_exwas","ukb-b-19925","ukb","Arm fat-free mass (left)","Arm fat-free mass (left)","all","exact"
"ukb-wes-az-00010131","az_exwas","ukb-b-19953","ukb","Body mass index (BMI)","Body mass index (BMI)","all","exact"
"ukb-wes-az-00010231","az_exwas","ukb-b-19953","ukb","Body mass index (BMI)","Body mass index (BMI)","all","exact"
"ukb-wes-az-00011893","az_exwas","ukb-b-19994","ukb","Spherical power (right)","Spherical power (right)","all","exact"
"ukb-wes-az-00010255","az_exwas","ukb-b-20044","ukb","Trunk fat mass","Trunk fat mass","all","exact"
"ukb-wes-az-00010340","az_exwas","ukb-b-20044","ukb","Trunk fat mass","Trunk fat mass","all","exact"
"ukb-wes-az-00010250","az_exwas","ukb-b-20188","ukb","Arm fat percentage (left)","Arm fat percentage (left)","all","exact"
"ukb-wes-az-00010111","az_exwas","ukb-b-20410","ukb","Interpolated Age of participant when cancer first diagnosed","Interpolated Age of participant when cancer first diagnosed","all","exact"
"ukb-wes-az-00011911","az_exwas","ukb-b-20486","ukb","6mm asymmetry index (right)","6mm asymmetry index (right)","all","exact"
"ukb-wes-az-00010238","az_exwas","ukb-b-20531","ukb","Leg fat percentage (right)","Leg fat percentage (right)","all","exact"
"ukb-wes-az-00011868","az_exwas","ukb-b-2122","ukb","Ankle spacing width (left)","Ankle spacing width (left)","all","exact"
"ukb-wes-az-00011859","az_exwas","ukb-b-2729","ukb","Age heart attack diagnosed","Age heart attack diagnosed","all","exact"
"ukb-wes-az-00011861","az_exwas","ukb-b-3018","ukb","Age at death","Age at death","all","exact"
"ukb-wes-az-00011856","az_exwas","ukb-b-3825","ukb","Age angina diagnosed","Age angina diagnosed","all","exact"
"ukb-wes-az-00011850","az_exwas","ukb-b-4080","ukb","Ankle spacing width","Ankle spacing width","all","exact"
"ukb-wes-az-00001213","az_exwas","ukb-b-4106","ukb","Chest pain or discomfort when walking uphill or hurrying","Chest pain or discomfort when walking uphill or hurrying","all","exact"
"ukb-wes-az-00011916","az_exwas","ukb-b-4482","ukb","3mm regularity index (left)","3mm regularity index (left)","all","exact"
"ukb-wes-az-00011858","az_exwas","ukb-b-4575","ukb","Age asthma diagnosed","Age asthma diagnosed","all","exact"
"ukb-wes-az-00011878","az_exwas","ukb-b-4657","ukb","Heel bone mineral density (BMD) (right)","Heel bone mineral density (BMD) (right)","all","exact"
"ukb-wes-az-00011927","az_exwas","ukb-b-4717","ukb","Corneal resistance factor (left)","Corneal resistance factor (left)","all","exact"
"ukb-wes-az-00011898","az_exwas","ukb-b-5090","ukb","Astigmatism angle (left)","Astigmatism angle (left)","all","exact"
"ukb-wes-az-00011915","az_exwas","ukb-b-5309","ukb","6mm regularity index (left)","6mm regularity index (left)","all","exact"
"ukb-wes-az-00011869","az_exwas","ukb-b-5447","ukb","Heel broadband ultrasound attenuation (left)","Heel broadband ultrasound attenuation (left)","all","exact"
"ukb-wes-az-00010115","az_exwas","ukb-b-5666","ukb","Interpolated Age of participant when operation took place","Interpolated Age of participant when operation took place","all","exact"
"ukb-wes-az-00010141","az_exwas","ukb-b-5801","ukb","Age started wearing glasses or contact lenses","Age started wearing glasses or contact lenses","all","exact"
"ukb-wes-az-00011875","az_exwas","ukb-b-6027","ukb","Heel broadband ultrasound attenuation (right)","Heel broadband ultrasound attenuation (right)","all","exact"
"ukb-wes-az-00011862","az_exwas","ukb-b-6092","ukb","Age at cancer diagnosis","Age at cancer diagnosis","all","exact"
"ukb-wes-az-00011913","az_exwas","ukb-b-6251","ukb","3mm regularity index (right)","3mm regularity index (right)","all","exact"
"ukb-wes-az-00010247","az_exwas","ukb-b-6704","ukb","Arm fat mass (right)","Arm fat mass (right)","all","exact"
"ukb-wes-az-00010309","az_exwas","ukb-b-6704","ukb","Arm fat mass (right)","Arm fat mass (right)","all","exact"
"ukb-wes-az-00010114","az_exwas","ukb-b-671","ukb","Interpolated Year when operation took place","Interpolated Year when operation took place","all","exact"
"ukb-wes-az-00011907","az_exwas","ukb-b-6852","ukb","3mm strong meridian (right)","3mm strong meridian (right)","all","exact"
"ukb-wes-az-00001185","az_exwas","ukb-b-7007","ukb","Other eye problems","Other eye problems","all","exact"
"ukb-wes-az-00010243","az_exwas","ukb-b-7212","ukb","Leg fat mass (left)","Leg fat mass (left)","all","exact"
"ukb-wes-az-00010322","az_exwas","ukb-b-7212","ukb","Leg fat mass (left)","Leg fat mass (left)","all","exact"
"ukb-wes-az-00011912","az_exwas","ukb-b-7217","ukb","3mm asymmetry index (right)","3mm asymmetry index (right)","all","exact"
"ukb-wes-az-00010234","az_exwas","ukb-b-7376","ukb","Impedance of leg (right)","Impedance of leg (right)","all","exact"
"ukb-wes-az-00011784","az_exwas","ukb-b-7435","ukb","Age diabetes diagnosed","Age diabetes diagnosed","all","exact"
"ukb-wes-az-00010126","az_exwas","ukb-b-7460","ukb","Pack years adult smoking as proportion of life span exposed to smoking","Pack years adult smoking as proportion of life span exposed to smoking","all","exact"
"ukb-wes-az-00011886","az_exwas","ukb-b-7478","ukb","Hand grip strength (left)","Hand grip strength (left)","all","exact"
"ukb-wes-az-00011894","az_exwas","ukb-b-7500","ukb","Spherical power (left)","Spherical power (left)","all","exact"
"ukb-wes-az-00010236","az_exwas","ukb-b-7859","ukb","Impedance of arm (right)","Impedance of arm (right)","all","exact"
"ukb-wes-az-00011820","az_exwas","ukb-b-7953","ukb","Forced vital capacity (FVC)","Forced vital capacity (FVC)","all","exact"
"ukb-wes-az-00010118","az_exwas","ukb-b-8316","ukb","Speech-reception-threshold (SRT) estimate (right)","Speech-reception-threshold (SRT) estimate (right)","all","exact"
"ukb-wes-az-00010251","az_exwas","ukb-b-8338","ukb","Arm fat mass (left)","Arm fat mass (left)","all","exact"
"ukb-wes-az-00010305","az_exwas","ukb-b-8338","ukb","Arm fat mass (left)","Arm fat mass (left)","all","exact"
"ukb-wes-az-00011874","az_exwas","ukb-b-8607","ukb","Ankle spacing width (right)","Ankle spacing width (right)","all","exact"
"ukb-wes-az-00011882","az_exwas","ukb-b-8778","ukb","Pulse wave peak to peak time","Pulse wave peak to peak time","all","exact"
"ukb-wes-az-00010110","az_exwas","ukb-b-8800","ukb","Interpolated Year when cancer first diagnosed","Interpolated Year when cancer first diagnosed","all","exact"
"ukb-wes-az-00011854","az_exwas","ukb-b-8875","ukb","Heel bone mineral density (BMD)","Heel bone mineral density (BMD)","all","exact"
"ukb-wes-az-00011897","az_exwas","ukb-b-8882","ukb","Astigmatism angle (right)","Astigmatism angle (right)","all","exact"
"ukb-wes-az-00010113","az_exwas","ukb-b-8929","ukb","Interpolated Age of participant when non-cancer illness first diagnosed","Interpolated Age of participant when non-cancer illness first diagnosed","all","exact"
"ukb-wes-az-00011828","az_exwas","ukb-b-8951","ukb","Calcium","Calcium","all","exact"
"ukb-wes-az-00010117","az_exwas","ukb-b-9052","ukb","Speech-reception-threshold (SRT) estimate (left)","Speech-reception-threshold (SRT) estimate (left)","all","exact"
"ukb-wes-az-00010253","az_exwas","ukb-b-9093","ukb","Arm predicted mass (left)","Arm predicted mass (left)","all","exact"
"ukb-wes-az-00011904","az_exwas","ukb-b-9099","ukb","3mm cylindrical power (right)","3mm cylindrical power (right)","all","exact"
"ukb-wes-az-00011889","az_exwas","ukb-b-9405","ukb","Waist circumference","Waist circumference","all","exact"
"ukb-wes-az-00010257","az_exwas","ukb-b-9685","ukb","Trunk predicted mass","Trunk predicted mass","all","exact"
"ukb-wes-az-00010089","az_exwas","ukb-d-12336-irnt","ukb","Ventricular rate","Ventricular rate","all","exact"
"ukb-wes-az-00010090","az_exwas","ukb-d-12338-irnt","ukb","P duration","P duration","all","exact"
"ukb-wes-az-00010091","az_exwas","ukb-d-12340-irnt","ukb","QRS duration","QRS duration","all","exact"
"ukb-wes-az-00001166","az_exwas","ukb-d-20406","ukb","Ever addicted to alcohol","Ever addicted to alcohol","all","exact"
"ukb-wes-az-00011785","az_exwas","ukb-d-30000-irnt","ukb","White blood cell (leukocyte) count","White blood cell (leukocyte) count","all","exact"
"ukb-wes-az-00011786","az_exwas","ukb-d-30010-irnt","ukb","Red blood cell (erythrocyte) count","Red blood cell (erythrocyte) count","all","exact"
"ukb-wes-az-00011787","az_exwas","ukb-d-30020-irnt","ukb","Haemoglobin concentration","Haemoglobin concentration","all","exact"
"ukb-wes-az-00011788","az_exwas","ukb-d-30030-irnt","ukb","Haematocrit percentage","Haematocrit percentage","all","exact"
"ukb-wes-az-00011790","az_exwas","ukb-d-30050-irnt","ukb","Mean corpuscular haemoglobin","Mean corpuscular haemoglobin","all","exact"
"ukb-wes-az-00011791","az_exwas","ukb-d-30060-irnt","ukb","Mean corpuscular haemoglobin concentration","Mean corpuscular haemoglobin concentration","all","exact"
"ukb-wes-az-00011792","az_exwas","ukb-d-30070-irnt","ukb","Red blood cell (erythrocyte) distribution width","Red blood cell (erythrocyte) distribution width","all","exact"
"ukb-wes-az-00011794","az_exwas","ukb-d-30090-irnt","ukb","Platelet crit","Platelet crit","all","exact"
"ukb-wes-az-00011795","az_exwas","ukb-d-30100-irnt","ukb","Mean platelet (thrombocyte) volume","Mean platelet (thrombocyte) volume","all","exact"
"ukb-wes-az-00011799","az_exwas","ukb-d-30140-irnt","ukb","Neutrophill count","Neutrophill count","all","exact"
"ukb-wes-az-00011800","az_exwas","ukb-d-30150","ukb","Eosinophill count","Eosinophill count","all","exact"
"ukb-wes-az-00011801","az_exwas","ukb-d-30180-irnt","ukb","Lymphocyte percentage","Lymphocyte percentage","all","exact"
"ukb-wes-az-00011802","az_exwas","ukb-d-30190-irnt","ukb","Monocyte percentage","Monocyte percentage","all","exact"
"ukb-wes-az-00011803","az_exwas","ukb-d-30200-irnt","ukb","Neutrophill percentage","Neutrophill percentage","all","exact"
"ukb-wes-az-00011804","az_exwas","ukb-d-30210-irnt","ukb","Eosinophill percentage","Eosinophill percentage","all","exact"
"ukb-wes-az-00011805","az_exwas","ukb-d-30220-irnt","ukb","Basophill percentage","Basophill percentage","all","exact"
"ukb-wes-az-00011806","az_exwas","ukb-d-30240-irnt","ukb","Reticulocyte percentage","Reticulocyte percentage","all","exact"
"ukb-wes-az-00011810","az_exwas","ukb-d-30280-irnt","ukb","Immature reticulocyte fraction","Immature reticulocyte fraction","all","exact"
"ukb-wes-az-00011811","az_exwas","ukb-d-30290-irnt","ukb","High light scatter reticulocyte percentage","High light scatter reticulocyte percentage","all","exact"
"ukb-wes-az-00011813","az_exwas","ukb-d-30500-irnt","ukb","Microalbumin in urine","Microalbumin in urine","all","exact"
"ukb-wes-az-00011865","az_exwas","ukb-d-4056-irnt","ukb","Age stroke diagnosed","Age stroke diagnosed","all","exact"
"ukb-wes-az-00011887","az_exwas","ukb-d-4700-irnt","ukb","Age cataract diagnosed","Age cataract diagnosed","all","exact"
"ukb-wes-az-00001302","az_exwas","ukb-d-C-OTHER-SKIN","ukb","Other malignant neoplasms of skin","Other malignant neoplasms of skin","all","exact"
"ukb-wes-az-00001954","az_exwas","ukb-d-C-OTHER-SKIN","ukb","Other malignant neoplasms of skin","Other malignant neoplasms of skin","all","exact"
"ukb-wes-az-00002664","az_exwas","ukb-d-C-OTHER-SKIN","ukb","Other malignant neoplasms of skin","Other malignant neoplasms of skin","all","exact"
"ukb-wes-az-00001283","az_exwas","ukb-d-C-RECTUM","ukb","Malignant neoplasm of rectum","Malignant neoplasm of rectum","all","exact"
"ukb-wes-az-00001564","az_exwas","ukb-d-C-RECTUM","ukb","Malignant neoplasm of rectum","Malignant neoplasm of rectum","all","exact"
"ukb-wes-az-00001903","az_exwas","ukb-d-C-RECTUM","ukb","Malignant neoplasm of rectum","Malignant neoplasm of rectum","all","exact"
"ukb-wes-az-00002603","az_exwas","ukb-d-C-RECTUM","ukb","Malignant neoplasm of rectum","Malignant neoplasm of rectum","all","exact"
"ukb-wes-az-00001311","az_exwas","ukb-d-C3-BREAST-3","ukb","Malignant neoplasm of breast","Malignant neoplasm of breast","all","exact"
"ukb-wes-az-00001573","az_exwas","ukb-d-C3-BREAST-3","ukb","Malignant neoplasm of breast","Malignant neoplasm of breast","all","exact"
"ukb-wes-az-00001977","az_exwas","ukb-d-C3-BREAST-3","ukb","Malignant neoplasm of breast","Malignant neoplasm of breast","all","exact"
"ukb-wes-az-00002690","az_exwas","ukb-d-C3-BREAST-3","ukb","Malignant neoplasm of breast","Malignant neoplasm of breast","all","exact"
"ukb-wes-az-00001299","az_exwas","ukb-d-C3-BRONCHUS-LUNG","ukb","Malignant neoplasm of bronchus and lung","Malignant neoplasm of bronchus and lung","all","exact"
"ukb-wes-az-00001571","az_exwas","ukb-d-C3-BRONCHUS-LUNG","ukb","Malignant neoplasm of bronchus and lung","Malignant neoplasm of bronchus and lung","all","exact"
"ukb-wes-az-00001931","az_exwas","ukb-d-C3-BRONCHUS-LUNG","ukb","Malignant neoplasm of bronchus and lung","Malignant neoplasm of bronchus and lung","all","exact"
"ukb-wes-az-00002639","az_exwas","ukb-d-C3-BRONCHUS-LUNG","ukb","Malignant neoplasm of bronchus and lung","Malignant neoplasm of bronchus and lung","all","exact"
"ukb-wes-az-00001281","az_exwas","ukb-d-C3-COLON","ukb","Malignant neoplasm of colon","Malignant neoplasm of colon","all","exact"
"ukb-wes-az-00001563","az_exwas","ukb-d-C3-COLON","ukb","Malignant neoplasm of colon","Malignant neoplasm of colon","all","exact"
"ukb-wes-az-00001901","az_exwas","ukb-d-C3-COLON","ukb","Malignant neoplasm of colon","Malignant neoplasm of colon","all","exact"
"ukb-wes-az-00002601","az_exwas","ukb-d-C3-COLON","ukb","Malignant neoplasm of colon","Malignant neoplasm of colon","all","exact"
"ukb-wes-az-00001313","az_exwas","ukb-d-C3-CORPUS-UTERI","ukb","Malignant neoplasm of corpus uteri","Malignant neoplasm of corpus uteri","all","exact"
"ukb-wes-az-00001986","az_exwas","ukb-d-C3-CORPUS-UTERI","ukb","Malignant neoplasm of corpus uteri","Malignant neoplasm of corpus uteri","all","exact"
"ukb-wes-az-00002699","az_exwas","ukb-d-C3-CORPUS-UTERI","ukb","Malignant neoplasm of corpus uteri","Malignant neoplasm of corpus uteri","all","exact"
"ukb-wes-az-00001301","az_exwas","ukb-d-C3-MELANOMA-SKIN","ukb","Malignant melanoma of skin","Malignant melanoma of skin","all","exact"
"ukb-wes-az-00001943","az_exwas","ukb-d-C3-MELANOMA-SKIN","ukb","Malignant melanoma of skin","Malignant melanoma of skin","all","exact"
"ukb-wes-az-00002654","az_exwas","ukb-d-C3-MELANOMA-SKIN","ukb","Malignant melanoma of skin","Malignant melanoma of skin","all","exact"
"ukb-wes-az-00001317","az_exwas","ukb-d-C3-PROSTATE","ukb","Malignant neoplasm of prostate","Malignant neoplasm of prostate","all","exact"
"ukb-wes-az-00001574","az_exwas","ukb-d-C3-PROSTATE","ukb","Malignant neoplasm of prostate","Malignant neoplasm of prostate","all","exact"
"ukb-wes-az-00001994","az_exwas","ukb-d-C3-PROSTATE","ukb","Malignant neoplasm of prostate","Malignant neoplasm of prostate","all","exact"
"ukb-wes-az-00002708","az_exwas","ukb-d-C3-PROSTATE","ukb","Malignant neoplasm of prostate","Malignant neoplasm of prostate","all","exact"
"ukb-wes-az-00003033","az_exwas","ukb-d-D3-ANAEMIA-IRONDEF","ukb","Iron deficiency anaemia","Iron deficiency anaemia","all","exact"
"ukb-wes-az-00001622","az_exwas","ukb-d-D3-OTHERANAEMIA","ukb","Other anaemias","Other anaemias","all","exact"
"ukb-wes-az-00003047","az_exwas","ukb-d-D3-OTHERANAEMIA","ukb","Other anaemias","Other anaemias","all","exact"
"ukb-wes-az-00001659","az_exwas","ukb-d-G6-SLEEPAPNO","ukb","Sleep apnoea","Sleep apnoea","all","exact"
"ukb-wes-az-00003319","az_exwas","ukb-d-G6-SLEEPAPNO","ukb","Sleep apnoea","Sleep apnoea","all","exact"
"ukb-wes-az-00003410","az_exwas","ukb-d-H7-CHALAZION","ukb","Chalazion","Chalazion","all","exact"
"ukb-wes-az-00003425","az_exwas","ukb-d-H7-EYELIDDIS","ukb","Other disorders of eyelid","Other disorders of eyelid","all","exact"
"ukb-wes-az-00003432","az_exwas","ukb-d-H7-LACRIMALSYSTEM","ukb","Disorders of lacrimal system","Disorders of lacrimal system","all","exact"
"ukb-wes-az-00003497","az_exwas","ukb-d-H7-MACULADEGEN","ukb","Degeneration of macula and posterior pole","Degeneration of macula and posterior pole","all","exact"
"ukb-wes-az-00003490","az_exwas","ukb-d-H7-RETINALDETACH","ukb","Retinal detachments and breaks","Retinal detachments and breaks","all","exact"
"ukb-wes-az-00003484","az_exwas","ukb-d-H7-RETINALDETACHBREAK","ukb","Retinal detachment with retinal break","Retinal detachment with retinal break","all","exact"
"ukb-wes-az-00003503","az_exwas","ukb-d-H7-RETINALDISOTH","ukb","Other retinal disorders","Other retinal disorders","all","exact"
"ukb-wes-az-00004063","az_exwas","ukb-d-K11-OESULC","ukb","Ulcer of oesophagus","Ulcer of oesophagus","all","exact"
"ukb-wes-az-00001755","az_exwas","ukb-d-K11-OTHDISOES","ukb","Other diseases of oesophagus","Other diseases of oesophagus","all","exact"
"ukb-wes-az-00004072","az_exwas","ukb-d-K11-OTHDISOES","ukb","Other diseases of oesophagus","Other diseases of oesophagus","all","exact"
"ukb-wes-az-00004350","az_exwas","ukb-d-L12-ACTINKERA","ukb","Actinic keratosis","Actinic keratosis","all","exact"
"ukb-wes-az-00004391","az_exwas","ukb-d-L12-ATROPHICSKIN","ukb","Atrophic disorders of skin","Atrophic disorders of skin","all","exact"
"ukb-wes-az-00004352","az_exwas","ukb-d-L12-NONIONRADISKIN","ukb","Skin changes due to chronic exposure to nonionizing radiation","Skin changes due to chronic exposure to nonionizing radiation","all","exact"
"ukb-wes-az-00004390","az_exwas","ukb-d-L12-SCARCONDITIONS","ukb","Scar conditions and fibrosis of skin","Scar conditions and fibrosis of skin","all","exact"
"ukb-wes-az-00004866","az_exwas","ukb-d-M13-ADHCAPSULITIS","ukb","Adhesive capsulitis of shoulder","Adhesive capsulitis of shoulder","all","exact"
"ukb-wes-az-00001799","az_exwas","ukb-d-M13-ARTHROSIS-OTH","ukb","Other arthrosis","Other arthrosis","all","exact"
"ukb-wes-az-00004521","az_exwas","ukb-d-M13-ARTHROSIS-OTH","ukb","Other arthrosis","Other arthrosis","all","exact"
"ukb-wes-az-00004769","az_exwas","ukb-d-M13-CERVICALGIA","ukb","Cervicalgia","Cervicalgia","all","exact"
"ukb-wes-az-00004796","az_exwas","ukb-d-M13-DORSALGIA","ukb","Dorsalgia","Dorsalgia","all","exact"
"ukb-wes-az-00004862","az_exwas","ukb-d-M13-DUPUTRYEN","ukb","Palmar fascial fibromatosis [Dupuytren]","Palmar fascial fibromatosis [Dupuytren]","all","exact"
"ukb-wes-az-00004895","az_exwas","ukb-d-M13-ENTESOPATHYOTH","ukb","Other enthesopathies","Other enthesopathies","all","exact"
"ukb-wes-az-00004865","az_exwas","ukb-d-M13-FIBROBLASTIC","ukb","Fibroblastic disorders","Fibroblastic disorders","all","exact"
"ukb-wes-az-00004838","az_exwas","ukb-d-M13-GANGLION","ukb","Ganglion","Ganglion","all","exact"
"ukb-wes-az-00004524","az_exwas","ukb-d-M13-HALLUXRIGIDUS","ukb","Hallux rigidus","Hallux rigidus","all","exact"
"ukb-wes-az-00004523","az_exwas","ukb-d-M13-HALLUXVALGUS","ukb","Hallux valgus (acquired)","Hallux valgus (acquired)","all","exact"
"ukb-wes-az-00004870","az_exwas","ukb-d-M13-IMPINGEMENT","ukb","Impingement syndrome of shoulder","Impingement syndrome of shoulder","all","exact"
"ukb-wes-az-00004922","az_exwas","ukb-d-M13-LIMBPAIN","ukb","Pain in limb","Pain in limb","all","exact"
"ukb-wes-az-00004785","az_exwas","ukb-d-M13-LOWBACKPAIN","ukb","Low back pain","Low back pain","all","exact"
