,trait,efo,confidence
39,Treatment speciality of consultant (recoded): Nephrology,obsolete_recurrent Neisseria infections due to factor D deficiency,1
40,Operative procedures - secondary OPCS: Z27.8 Specified upper digestive tract NEC,upper digestive tract disorder,5
41,Spinach intake,folate intake measurement,4
42,Salt added to food,ionic salt,4
43,Onion intake,response to diet,4
44,Operative procedures - main OPCS: H25.1 Diagnostic endoscopic examination of lower bowel and biopsy of lesion of lower bowel using fibreoptic sigmoidoscope,"diverticulosis of bowel, hernia, and retinal detachment",3
45,"Light smokers, at least 100 smokes in lifetime",maximum cigarettes per day measurement,4
46,Operative procedures - main OPCS: W38.1 Primary total prosthetic replacement of hip joint not using cement,total hip arthroplasty,5
47,"Medication for pain relief, constipation, heartburn: Ranitidine (e.g. Zantac)","gastrointestinal ulceration, recurrent, with dysfunctional platelets",2
48,Treatment/medication code: paracetamol,paracetamol,5
49,Diagnoses - secondary ICD10: R10.3 Pain localised to other parts of lower abdomen,inguinal part of abdomen,5
50,Treatment/medication code: lercanidipine,nifedipine,4
51,"Diagnoses - secondary ICD10: I25.9 Chronic ischaemic heart disease, unspecified",Ischemic cardiomyopathy,5
52,"Cancer code, self-reported: bladder cancer",cancer-related condition,5
53,"Non-cancer illness code, self-reported: sciatica",Sciatica,5
54,Ever highly irritable/argumentative for 2 days,intellectual developmental disorder with hypotonia and behavioral abnormalities,4
55,PCT where patients GP was registered: DERBY CITY PCT,obsolete_CNS brain striatum MMHCC,1
56,"Non-cancer illness code, self-reported: joint disorder",joint disease,5
57,PCT where patients GP was registered: CAMDEN PCT,CCL5/CCN2 protein level ratio in blood,1
58,"Non-cancer illness code, self-reported: crohns disease",Crohn's disease,5
59,Diagnoses - main ICD10: M23.2 Derangement of meniscus due to old tear or injury,obsolete_syndrome with synostosis or other joint formation defect,3
60,Fractured heel (left),foot fracture,5
61,"Non-cancer illness code, self-reported: arthritis (nos)",arthritis,5
62,Treatment/medication code: evening primrose oil product,Primrose syndrome,4
63,Treatment/medication code: prednisolone,prednisolone,5
64,Other egg intake,energy intake,3
65,Diagnoses - main ICD10: K80.5 Calculus of bile duct without cholangitis or cholecystitis,cholecystolithiasis,5
66,Operation code: hernia surgery,medical procedure,5
67,"Non-cancer illness code, self-reported: kidney stone/ureter stone/bladder stone",ureterolithiasis,5
68,Treatment/medication code: co-codamol,codanin-1,3
69,"Non-cancer illness code, self-reported: heart/cardiac problem",mild heart failure,5
70,Speech-reception-threshold (SRT) estimate (right),obsolete_hearing threshold measurement,5
71,Eye problems/disorders: Cataract,cataract 8 multiple types,5
72,Arm fat mass (left),body fat distribution,4
73,Diagnoses - secondary ICD10: K62.1 Rectal polyp,polyp of rectum,5
74,Saturated fat,saturated fatty acids measurement,5
75,Methods of discharge from hospital (recoded): Discharged on clinical advice/consent: Transfer to another provider,obsolete_Mature Plasma Cell Count;The determination of the number of mature plasma cells present in a sample. [ NCI ],1
76,Cappuccino intake,obsolete_response to paliperidone,1
77,Operative procedures - main OPCS: W20.1 Primary open reduction of fracture of long bone and extramedullary fixation using plate NEC,obsolete_primary bone dysplasia with multiple joint dislocations,2
78,Started insulin within one year diagnosis of diabetes,age of onset of type 1 diabetes mellitus,5
79,"PCT responsible for patient data: HEYWOOD, MIDDLETON AND ROCHDALE PCT",obsolete_Charcot-Marie-Tooth disease type 4F,2
80,"Non-cancer illness code, self-reported: glaucoma",glaucoma,5
81,"Type of cancer: ICD10: C44.9 Malignant neoplasm of skin, unspecified",unspecified peripheral T-cell lymphoma,2
82,"Non-cancer illness code, self-reported: nasal polyps",Nasal polyposis,5
83,"Forced expiratory volume in 1-second (FEV1), predicted",forced expiratory volume,5
84,Intake of sugar added to tea,sugar sweetened beverage consumption measurement,5
85,Answered sexual history questions,encounter with health service related to reproduction,5
86,"Heel quantitative ultrasound index (QUI), direct entry (left)",obsolete_calcaneal bone quantitative ultrasound measurement;bone quantitiave ultrasound of the main bone in the heel,5
87,Back pain for 3+ months,chronic back pain,5
88,Vascular/heart problems diagnosed by doctor: Angina,Prinzmetal's angina,4
89,Operation code: reduction or fixation of bone fracture,"fractures, ununited",4
90,Operation code: other bowel surgery,digestive system surgery,5
91,"Loneliness, isolation",loneliness measurement,5
92,Operation code: other thoracic surgery,thoracic cavity,4
93,"Non-cancer illness code, self-reported: urinary frequency / incontinence",Urinary incontinence,5
94,Starch,nutrient,5
95,Operative procedures - main OPCS: W15.3 Osteotomy of first metatarsal bone NEC,obsolete_multicentric carpo-tarsal osteolysis with or without nephropathy,1
96,PCT responsible for patient data: SALFORD PCT,Legg-Calvé-Perthes disease,1
97,Diagnoses - main ICD10: D24 Benign neoplasm of breast,benign neoplasm of male breast,5
98,Decaffeinated tea,caffeine,4
99,Operative procedures - main OPCS: W84.8 Other specified therapeutic endoscopic operations on other joint structure,obsolete_non-syndromic limb reduction defect,3
100,Operative procedures - main OPCS: P23.1 Anterior and posterior colporrhaphy NEC,Partial bilateral aplasia of the Müllerian ducts,5
101,Treatment/medication code: beclomethasone,trait in response to dexamethasone,2
102,Treatment/medication code: gliclazide,glyburide,5
103,Ankle spacing width (right),Abnormal upper limb bone morphology,2
104,Operative procedures - main OPCS: M47.9 Unspecified urethral catheterisation of bladder,obsolete_atresia of urethra,4
105,Treatment/medication code: vagifem 25mcg pessary,"ATC Code H Systemic hormonal preparations, excluding sex hormones and insulins",4
106,"Non-cancer illness code, self-reported: malabsorption/coeliac disease",celiac disease,5
107,Main speciality of consultant (recoded): Gastroenterology,Rare genetic gastroenterological disease,5
108,"Non-cancer illness code, self-reported: retinal detachment",retinal detachment,5
109,Operative procedures - secondary OPCS: X33.9 Unspecified other blood transfusion,response to red blood cell transfusion,5
110,"Non-cancer illness code, self-reported: angina",angina pectoris,5
111,Type of yogurt eaten: Full fat yogurt consumers,dietary fat liking measurement,5
112,Treatment speciality of consultant (recoded): Trauma & orthopaedics,encounter with health service for breast reconstruction following mastectomy,1
113,Treatment/medication code: doxazosin,benserazide,2
114,PCT responsible for patient data: KNOWSLEY PCT,SSRI use measurement,1
115,Stewed fruit intake,sweet beverage consumption measurement,4
116,Operative procedures - secondary OPCS: Z49.1 Skin of breast,Abnormality of the breast,5
117,Diagnoses - secondary ICD10: N85.8 Other specified noninflammatory disorders of uterus,Abnormality of the uterus,5
118,PCT responsible for patient data: DERBY CITY PCT,obsolete_vagal placode 1,1
119,PCT responsible for patient data: CALDERDALE PCT,obsolete_vagal placode 4,1
120,PCT where patients GP was registered: CENTRAL MANCHESTER PCT,Asp-phe measurement,1
121,"PCT where patients GP was registered: WINDSOR, ASCOT AND MAIDENHEAD PCT","Charcot-Marie-Tooth disease, axonal, IIa 2II",1
122,Diagnoses - main ICD10: J22 Unspecified acute lower respiratory infection,Recurrent lower respiratory tract infections,3
123,Vascular/heart problems diagnosed by doctor: Stroke,obsolete_genetic cardiac rhythm disease,3
124,Operation code: transurethral resection of prostate (turp),penile urethral cancer,2
125,"Non-cancer illness code, self-reported: pernicious anaemia",pernicious anemia,5
126,Operative procedures - secondary OPCS: Y82.8 Other specified local anaesthetic,inhalation anaesthetic,3
127,Age at last live birth,age at last pregnancy measurement,5
128,Fractured bone site(s): Spine,spinal injury,5
129,Illnesses of siblings: High blood pressure,"essential hypertension, genetic",5
130,Treatment/medication code: aspirin,aspirin use measurement,5
131,Crispbread intake,dietary fiber intake measurement,5
132,"Types of physical activity in last 4 weeks: Other exercises (eg: swimming, cycling, keep fit, bowling)",obsolete_exercise-induced hyperinsulinism,2
133,Other grain intake,energy intake,3
134,"Cancer code, self-reported: cervical cancer",cervical cancer,5
135,Pulse wave peak to peak time,High pulse pressure,3
136,Operative procedures - main OPCS: H48.2 Excision of skin tag of anus,Abnormality of the anus,5
137,Squash intake,diet measurement,4
138,PCT responsible for patient data: SOLIHULL CARE TRUST,encounter with health service for adjustment and management of implanted device,2
139,Operative procedures - secondary OPCS: Y53.4 Approach to organ under fluoroscopic control,skin fluorescence trait,2
140,Interpolated Year when cancer first diagnosed,age of onset of cancer,5
141,Current employment status: Doing unpaid or voluntary work,encounter with health service related to socioeconomic and psychosocial circumstances,4
142,"Diagnoses - main ICD10: N39.0 Urinary tract infection, site not specified",urinary tract infection,5
143,"Cancer code, self-reported: basal cell carcinoma",skin basal cell carcinoma,5
144,PCT responsible for patient data: CENTRAL AND EASTERN CHESHIRE PCT,encounter with health service related to reproduction.,1
145,PCT where patients GP was registered: SOLIHULL PCT,N/A,1
146,Methods of admission to hospital (recoded): Elective admission: Booked,encounter with health service related to previous surgical history,4
147,Diagnoses - main ICD10: K44.9 Diaphragmatic hernia without obstruction or gangrene,diaphragmatic hernia,5
148,"Diagnoses - secondary ICD10: I95.9 Hypotension, unspecified",hypotension,5
149,Time spent doing light physical activity,physical activity measurement,5
150,Heel bone mineral density (BMD),heel bone mineral density,5
151,Diagnoses - secondary ICD10: B96.2 Escherichia coli [E. coli] as the cause of diseases classified to other chapters,Escherichia coli Infections,5
152,Astigmatism angle (right),Astigmatism,5
153,Berry intake,dietary fiber intake measurement,4
154,"Medication for pain relief, constipation, heartburn: Ibuprofen (e.g. Nurofen)",obsolete_response to nitrofurantoin,2
155,Manic/hyper symptoms: I was more talkative than usual,manic or hypomanic episode,5
156,Type of sliced bread eaten: wholemeal,obsolete_sensory perception of dietary content,2
157,Knee pain for 3+ months,chronic post-operative pain measurement,3
158,Other cereal intake,dietary fiber intake measurement,4
159,Interpolated Age of participant when non-cancer illness first diagnosed,obsolete_age of onset,5
160,Main speciality of consultant (recoded): Plastic surgery,encounter with health service for breast reconstruction following mastectomy,5
161,Calcium,calcium atom,5
162,"Non-cancer illness code, self-reported: chronic fatigue syndrome",chronic fatigue syndrome,5
163,Operative procedures - main OPCS: W37.1 Primary total prosthetic replacement of hip joint using cement,total hip arthroplasty,5
164,Diagnoses - main ICD10: K80.1 Calculus of gallbladder with other cholecystitis,"Cholecystitis, Acute",4
165,PCT responsible for patient data: KIRKLEES PCT,HCS image acquisition and feature extraction protocol,1
166,Diagnoses - secondary ICD10: Z53.0 Procedure not carried out because of contraindication,"asthma, nasal polyps, and aspirin intolerance",4
167,Type of fat/oil used in cooking: Polyunsaturated margarine,polyunsaturated fatty acids to total fatty acids percentage,4
168,Thickness of butter/margarine spread on bread rolls: thin,obsolete_sensory perception of dietary content,3
169,Main speciality of consultant (recoded): Ophthalmology,Graves ophthalmopathy,4
170,"Non-cancer illness code, self-reported: allergy/hypersensitivity/anaphylaxis",hypersensitivity,4
171,Operative procedures - main OPCS: R18.2 Lower uterine segment caesarean delivery NEC,cesarean section,5
172,Diagnoses - secondary ICD10: Z53.8 Procedure not carried out for other reasons,iatrogenic or non-iatrogenic,4
173,"Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault of a close relative",encounter with health service related to socioeconomic and psychosocial circumstances,4
174,Cauliflower intake,dietary carotene intake measurement,4
175,Eye problems/disorders: Injury or trauma resulting in loss of vision,optic atrophy 13 with retinal and foveal abnormalities,4
176,Speech-reception-threshold (SRT) estimate (left),obsolete_hearing threshold measurement,5
177,Leg pain in calf/calves,Exercise-induced muscle cramps,4
178,Current employment status: Looking after home and/or family,encounter with health service related to socioeconomic and psychosocial circumstances,5
179,"Non-cancer illness code, self-reported: eye/eyelid problem",eyelid disease,5
180,"Diagnoses - main ICD10: N35.9 Urethral stricture, unspecified",Urethral stricture,5
181,Arm predicted mass (left),appendicular lean mass,5
182,3mm cylindrical power (right),lens of camera-type eye,4
183,"Diagnoses - secondary ICD10: C50.9 Breast, unspecified",unspecified peripheral T-cell lymphoma,2
184,"Non-cancer illness code, self-reported: rheumatoid arthritis",rheumatoid arthritis,5
185,Illnesses of father: Chronic bronchitis/emphysema,obsolete_congenital lobar emphysema,4
186,Pain type(s) experienced in last month: None of the above,fear of severe pain measurement,3
187,Reason for glasses/contact lenses: For a 'lazy' eye or an eye with poor vision since childhood (called 'amblyopia'),obsolete_Congenital blindness due to retinal non-attachment,3
188,"Non-cancer illness code, self-reported: sleep apnoea",sleep apnea,5
189,"Type of cancer: ICD10: D06.9 Cervix, unspecified",HPV-associated cervical carcinoma,5
190,Operation code: bunion/hallus valgus surgery,Hallux valgus,5
191,Treatment/medication code: amlodipine,nifedipine,4
192,"Diagnoses - secondary ICD10: Z53.9 Procedure not carried out, unspecified reason",encounter with health service related to previous surgical history,4
193,Treatment/medication code: symbicort 100/6 turbohaler,obsolete_response to dimethyl fumarate,1
194,Operative procedures - main OPCS: K75.1 Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery,percutaneous transluminal coronary angioplasty,5
195,Destinations on discharge from hospital (recoded): Transfer within NHS provider,encounter with health service related to previous surgical history,4
196,PCT responsible for patient data: LEEDS PCT,,1
197,Operation code: inguinal/femoral hernia repair,Inguinal hernia,5
198,PCT responsible for patient data: SEFTON PCT,,1
199,Diagnoses - main ICD10: O68.0 Labour and delivery complicated by foetal heart rate anomaly,congenital anomaly of cardiovascular system,4
200,Type of fat/oil used in cooking: Olive spread,amount of legumain (human) in blood,1
201,Frequency of tiredness / lethargy in last 2 weeks,"seeing a psychiatrist for nerves, anxiety, tension or depression, self-reported",4
202,Treatment/medication code: cetirizine,None,1
203,Operative procedures - secondary OPCS: K63.6 Coronary arteriography NEC,coronary artery,4
204,Operative procedures - secondary OPCS: T87.3 Excision or biopsy of axillary lymph node,benign neoplasm of lymph node,2
205,Instant coffee intake,coffee consumption,5
206,"Non-cancer illness code, self-reported: back problem",Back pain,5
207,Operative procedures - secondary OPCS: H22.1 Diagnostic fibreoptic endoscopic examination of colon and biopsy of lesion of colon,adenomatous colon polyp,5
208,Operative procedures - secondary OPCS: M47.3 Removal of urethral catheter from bladder,urethral syndrome,3
209,Diagnoses - main ICD10: D12.8 Rectum,rectum adenoma,4
210,Number of trend entries,is count of,5
211,Operative procedures - main OPCS: W90.1 Aspiration of joint,Aspiration,5
212,Operative procedures - main OPCS: H22.1 Diagnostic fibreoptic endoscopic examination of colon and biopsy of lesion of colon,adenomatous colon polyp,5
213,Operation code: other urological surgery,obsolete_genitourinary system,3
214,Methods of admission to hospital (recoded): Elective admission: Waiting List,encounter with health service related to previous surgical history,3
215,Diagnoses - secondary ICD10: K22.1 Ulcer of oesophagus,esophageal ulcer,5
216,Diagnoses - secondary ICD10: J22 Unspecified acute lower respiratory infection,pediatric acute respiratory distress syndrome,4
217,Treatment/medication code: naproxen,naproxen,5
218,Waist circumference,waist circumference,5
219,Operative procedures - main OPCS: M45.1 Diagnostic endoscopic examination of bladder and biopsy of lesion of bladder NEC,benign neoplasm of renal pelvis,4
220,Age started oral contraceptive pill,age at initiation of oral contraceptive pill use,5
221,Operative procedures - main OPCS: G45.1 Fibreoptic endoscopic examination of upper gastrointestinal tract and biopsy of lesion of upper gastrointestinal tract,Abnormality of the gastrointestinal tract,5
222,Operative procedures - main OPCS: D15.1 Myringotomy with insertion of ventilation tube through tympanic membrane,tympanic membrane disease,5
223,Age started hormone-replacement therapy (HRT),age at initiation of hormone replacement therapy,5
224,"Diagnoses - secondary ICD10: M19.9 Arthrosis, unspecified",unspecified juvenile idiopathic arthritis,3
225,"Non-cancer illness code, self-reported: oesophagitis/barretts oesophagus",gastroesophageal reflux disease,4
226,Coffee consumed,coffee consumption,5
227,Ever taken oral contraceptive pill,contraception,5
228,Main speciality of consultant (recoded): Nephrology,nephrogenic syndrome of inappropriate antidiuresis,5
229,PCT responsible for patient data: COUNTY DURHAM PCT,LAM-HTGTS,2
230,Fortified wine intake,alcohol consumption quality,4
231,Values wanted,amount,5
232,"Diagnoses - main ICD10: D25.9 Leiomyoma of uterus, unspecified",Uterine leiomyoma,5
233,Operative procedures - main OPCS: S06.9 Unspecified other excision of lesion of skin,obsolete_precancerous lesion of palpebral epidermis,4
234,Shortness of breath walking on level ground,shortness of breath,5
235,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Oral contraceptive pill or minipill","ATC Code H Systemic hormonal preparations, excluding sex hormones and insulins",5
236,Total traffic load on major roads,traffic air pollution measurement,4
237,Illnesses of father: Parkinson's disease,Parkinson disease,5
238,Diagnoses - main ICD10: H02.8 Other specified disorders of eyelid,obsolete eyelids malposition disorder,4
239,Number of blood samples taken,number of injections,4
240,Fractured bone site(s): Wrist,wrist fracture,5
241,Operative procedures - secondary OPCS: Y81.9 Unspecified spinal anaesthetic,inhalation anaesthetic,3
242,Diagnoses - main ICD10: N92.1 Excessive and frequent menstruation with irregular cycle,Menstrual disorder,5
243,Operative procedures - main OPCS: K63.3 Angiocardiography of left side of heart NEC,Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction,3
244,Vitamin and mineral supplements: Vitamin A,vitamin supplement exposure measurement,5
245,Diagnoses - main ICD10: O70.0 First degree perineal laceration during delivery,perineal laceration during delivery,5
246,Why stopped smoking: Illness or ill health,obsolete_smoking behaviour measurement,5
247,Smoking/smokers in household,environmental tobacco smoke exposure measurement,5
248,Diagnoses - main ICD10: I48 Atrial fibrillation and flutter,atrial fibrillation,5
249,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties",encounter with health service related to socioeconomic and psychosocial circumstances,5
250,Diagnoses - secondary ICD10: N80.0 Endometriosis of uterus,endometriosis,5
251,Trunk predicted mass,derived mass unit,4
252,Sweet potato intake,energy intake measurement,4
253,Time spend outdoors in summer,sun exposure measurement,5
254,Diagnoses - main ICD10: M23.22 Derangement of meniscus due to old tear or injury (Posterior cruciate ligament or Posterior horn of medial meniscus),ganglion or cyst of synovium/tendon/bursa,4
255,Diagnoses - main ICD10: Z53.8 Procedure not carried out for other reasons,iatrogenic or non-iatrogenic,5
256,Diagnoses - secondary ICD10: E11.9 Without complications,complication,5
257,Diagnoses - main ICD10: M79.66 Pain in limb (Lower leg),Lower limb pain,5
258,Diagnoses - main ICD10: O26.8 Other specified pregnancy-related conditions,encounter with health service related to reproduction,4
259,Operative procedures - main OPCS: C12.1 Excision of lesion of eyelid NEC,obsolete_precancerous lesion of palpebral epidermis,4
260,Liquid used to make porridge: Porridge with milk,non-grapefruit juice consumption measurement,2
261,Operative procedures - main OPCS: S06.8 Other specified other excision of lesion of skin,hamartoma of skin appendage,4
262,Total errors traversing numeric path (trail #1),CASCOT confidence score measurement,5
263,Treatment/medication code: cod liver oil capsule,fish oil supplement exposure measurement,5
264,Age when last ate meat,obsolete_age of onset,3
265,Diagnoses - main ICD10: K56.6 Other and unspecified intestinal obstruction,intestinal pseudo-obstruction,5
266,Operative procedures - secondary OPCS: Y80.4 Intravenous anaesthetic NEC,intravenous anaesthetic,5
267,Chocolate sweet intake,sweet liking measurement,5
268,Pain type(s) experienced in last month: Back pain,LDH-related sciatica symptom severity measurement,4
269,Diagnoses - secondary ICD10: Z88.1 Personal history of allergy to other antibiotic agents,beta-lactam allergy measurement,4
270,"Non-cancer illness code, self-reported: trapped nerve/compressed nerve",nerve compression syndrome,5
271,Other milk-based pudding intake,obsolete_sensory perception of dietary content,3
272,Diagnoses - main ICD10: N39.3 Stress incontinence,Stress urinary incontinence,5
273,PCT where patients GP was registered: BRISTOL SOUTH AND WEST PCT,obsolete_CNS brain striatum MMHCC,1
274,Operation code: hip surgery (not replacement),bone of hip region,5
275,Chocolate biscuits intake,sugar sweetened beverage consumption measurement,3
276,Operation code: dental/tooth surgery,dental pulp exposure,4
277,Interval between previous point and current one in numeric path (trail #1),obsolete_time before disease progression,5
278,"Diagnoses - secondary ICD10: J90 Pleural effusion, not elsewhere classified",Pleural effusion,5
279,Type of meals eaten: Home cooked meals,protein intake measurement,5
280,Why reduced smoking: Illness or ill health,obsolete_smoking behaviour measurement,5
281,Had major operations,surgery on leg artery,4
282,Treatment/medication code: furosemide,furosemide,5
283,Nitrogen dioxide air pollution; 2010,traffic air pollution measurement,5
284,Leg pain on walking : action taken,obsolete Difficulty walking,5
285,Operative procedures - secondary OPCS: Y50.8 Other specified approach through abdominal cavity,obsolete_abdominal cavity,5
286,Treatment speciality of consultant (recoded): Accident & emergency (A&E),encounter with health service related to reproduction,1
287,Treatment/medication code: thyroxine product,thyroxine,5
288,Y83.1 Surgical operation with implant of artificial internal device,encounter with health service for adjustment and management of implanted device,5
289,Soya dessert intake,protein intake measurement,4
290,Sensitivity / hurt feelings,feeling emotionally hurt measurement,5
291,Frequency of strenuous sports in last 4 weeks,sign or symptom concerning food and fluid intake,2
292,Type milk consumed: did not have milk,obsolete_breast milk measurement,4
293,Type milk consumed: semiskimmed,non-grapefruit juice consumption measurement,1
294,Type milk consumed: skimmed,obsolete_breast milk measurement,4
295,Type milk consumed: wholemilk,obsolete_breast milk measurement,3
296,Type milk consumed: soya with calcium,obsolete_glucose-galactose malabsorption,3
297,Usual side of head for mobile phone use: Left,encounter with health service related to reproduction,1
298,Usual side of head for mobile phone use: Right,obsolete_upper face morphology measurement,4
299,Usual side of head for mobile phone use: Equally left and right,obsolete_congenital absence of both lower leg and foot,1
300,Ventricular rate,ventricular rate measurement,5
301,P duration,P wave duration,5
302,QRS duration,QRS duration,5
303,Milk type used: Full cream,obsolete_breast milk measurement,4
304,Milk type used: Semi-skimmed,total lipids in medium LDL,3
305,Milk type used: Skimmed,portion of plant tissue,1
306,Milk type used: Soya,Glycine soja,5
307,Milk type used: Other type of milk,has extra parts of type,2
308,Milk type used: Never/rarely have milk,non-grapefruit juice consumption measurement,2
309,Spread type: Never/rarely use spread,Syracuse Low Avoidance,4
310,Spread type: Butter/spreadable butter,dietary fat liking measurement,4
311,Spread type: Flora Pro-Active/Benecol,obsolete_phenylketonuria,3
312,Spread type: Other type of spread/margarine,"obsolete_campomelia, Cumming type",2
313,Bread type: White,obsolete_white fat,4
314,Bread type: Brown,yeast media,4
315,Bread type: Wholemeal or wholegrain,non-grapefruit juice consumption measurement,1
316,Bread type: Other type of bread,has extra parts of type,1
317,"Cereal type: Bran cereal (e.g. All Bran, Branflakes)",non-grapefruit juice consumption measurement,1
318,Cereal type: Biscuit cereal (e.g. Weetabix),Buchnera aphidicola (Schizaphis graminum),2
319,"Cereal type: Oat cereal (e.g. Ready Brek, porridge)",obsolete_response to long-chain n-3 PUFA dietary supplementation,3
320,Cereal type: Muesli,Gerbera hybrid cultivar,1
321,"Cereal type: Other (e.g. Cornflakes, Frosties)",non-grapefruit juice consumption measurement,1
322,Coffee type: Decaffeinated coffee (any type),bitter non-alcoholic beverage consumption measurement,4
323,Coffee type: Instant coffee,coffee consumption measurement,5
324,"Coffee type: Ground coffee (include espresso, filter etc)",non-grapefruit juice consumption measurement,2
325,Coffee type: Other type of coffee,coffee consumption measurement,4
326,Major dietary changes in the last 5 years: No,dietary approaches to stop hypertension diet,2
327,"Major dietary changes in the last 5 years: Yes, because of illness",Genetic intestinal disease due to fat malabsorption,4
328,"Major dietary changes in the last 5 years: Yes, because of other reasons",dietary approaches to stop hypertension diet,4
329,Handedness (chirality/laterality): Right-handed,Pili torti - developmental delay - neurological abnormalities,1
330,"Hair colour (natural, before greying): Blonde",strand of hair color,5
331,"Hair colour (natural, before greying): Red",obsolete_hair colour measurement;quantification of some aspect of hair colour,4
332,"Hair colour (natural, before greying): Light brown",strand of hair color,5
333,"Hair colour (natural, before greying): Dark brown",strand of hair color,5
334,"Hair colour (natural, before greying): Black",strand of hair color,5
335,"Hair colour (natural, before greying): Other",obsolete_hair colour measurement;quantification of some aspect of hair colour,3
336,"Non-cancer illness code, self-reported: cataract",cataract,5
337,Day-of-week questionnaire completion requested: Monday,TEMPS-A questionnaire,5
338,Day-of-week questionnaire completion requested: Tuesday,encounter with health service related to reproduction,2
339,Day-of-week questionnaire completion requested: Wednesday,TEMPS-A questionnaire,4
340,Day-of-week questionnaire completion requested: Thursday,TEMPS-A questionnaire,4
341,Day-of-week questionnaire completion requested: Friday,DSM-IV-based non-social scale,3
342,Day-of-week questionnaire completion requested: Saturday,TEMPS-A questionnaire,4
343,Type of fat/oil used in cooking: Low fat olive spread for,response to high fat food intake,4
344,Illnesses of adopted father: None of the above (group 2),amount of endoglin (human) in blood,2
345,Illnesses of adopted mother: None of the above (group 1),level of G antigen 2D in blood serum,1
346,Illnesses of adopted mother: None of the above (group 2),level of equatorin in blood serum,3
347,Illnesses of adopted siblings: None of the above (group 1),obsolete_major induction processes eye anomaly,1
348,Illnesses of adopted siblings: None of the above (group 2),obsolete_major induction processes eye anomaly,1
349,Smoking status: Never,smoking behavior trait,5
350,Alcohol drinker status: Current,alcohol drinking,5
351,Home area population density - urban or rural: Scotland - Other Urban Area,geography-based population category,5
352,Home area population density - urban or rural: Scotland - Accessible Small Town,obsolete insect visual anlage in statu nascendi,1
